DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2005-Q1,3205.8,b,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2005-Q2,3206.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2005-Q3,3576.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2005-Q4,3401.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2006-Q1,3290.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2006-Q2,3235.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2006-Q3,3648.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2006-Q4,3380.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2007-Q1,3495.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2007-Q2,3398.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2007-Q3,3896.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2007-Q4,3632.5,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2008-Q1,3530.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2008-Q2,3337.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2008-Q3,3708.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2008-Q4,3421.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2009-Q1,3093.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2009-Q2,2972.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2009-Q3,3225.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2009-Q4,3018.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2010-Q1,2807.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2010-Q2,2689.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2010-Q3,2967.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2010-Q4,2730.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2011-Q1,2562.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2011-Q2,2595.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2011-Q3,2890.9,,
