DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2005-01,83.17,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2005-02,83.47,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2005-03,84.09,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2005-04,84.45,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2005-05,84.63,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2005-06,84.72,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2005-07,84.63,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2005-08,84.83,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2005-09,85.27,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2005-10,85.49,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2005-11,85.31,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2005-12,85.59,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2006-01,85.22,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2006-02,85.46,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2006-03,85.95,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2006-04,86.52,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2006-05,86.77,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2006-06,86.83,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2006-07,86.72,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2006-08,86.80,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2006-09,86.81,,
ESTAT:PRC_HICP_MIDX(1.0),02/12/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Euro area – 20 countries (from 2023),2006-10,86.87,,
