DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-01,93.7,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-02,93.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-03,93.4,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-04,94.8,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-05,93.4,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-06,94.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-07,94.8,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-08,93.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-09,95.1,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-10,95.2,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-11,96.7,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-12,95.8,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-01,96.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-02,96.4,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-03,97.2,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-04,97.4,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-05,98.8,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-06,98.9,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-07,98.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-08,98.8,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-09,99.0,,
