DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-01,75.2,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-02,74.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-03,75.5,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-04,75.3,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-05,75.2,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-06,75.8,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-07,75.7,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-08,76.3,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-09,76.7,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-10,77.0,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-11,76.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2005-12,76.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-01,77.6,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-02,77.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-03,77.8,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-04,78.4,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-05,78.8,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-06,79.1,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-07,79.2,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-08,79.4,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-09,78.8,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-10,79.1,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-11,79.8,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-12,80.6,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-01,79.1,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-02,79.8,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-03,80.8,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-04,81.2,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-05,80.0,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-06,80.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-07,81.1,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-08,81.3,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-09,81.4,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-10,81.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-11,82.5,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-12,82.5,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-01,83.1,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-02,83.8,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-03,82.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-04,83.2,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-05,83.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-06,83.4,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-07,83.3,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-08,83.4,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-09,84.0,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-10,82.7,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-11,82.1,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-12,81.2,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-01,80.3,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-02,79.8,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-03,79.2,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-04,80.3,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-05,79.5,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-06,79.5,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-07,79.7,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-08,79.6,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-09,79.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-10,80.0,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-11,79.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-12,81.1,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-01,80.3,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-02,80.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-03,81.8,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-04,81.3,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-05,81.7,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-06,81.6,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-07,81.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-08,81.6,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-09,81.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-10,81.9,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-11,82.2,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-12,82.7,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-01,82.6,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-02,83.5,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-03,82.7,,
ESTAT:STS_TRTU_M(1.0),05/12/25 11:00:00,Monthly,Net turnover,"Retail trade, except of motor vehicles and motorcycles",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-04,83.9,,
